Time ns, Temperature
1583331280277547379, 1314
1583331281277935020, 1313
1583331282277454107, 1327
1583331283277713450, 1334
1583331284277644648, 1309
1583331285278700201, 1327
1583331286277966644, 1343
1583331287277630249, 1330
1583331288279039764, 1333
1583331289277676848, 1345
1583331290277743011, 1342
1583331291277805139, 1346
1583331292277572341, 1326
1583331293278628213, 1355
1583331294277620201, 1344
1583331295277790272, 1439
1583331296273695484, 1347
1583331297278965534, 1342
1583331298277770397, 1360
1583331299277956851, 1367
1583331300279094211, 1360
1583331301278917123, 1353
1583331302277741918, 1373
1583331303279043408, 1363
1583331304277890305, 1372
1583331305278848650, 1373
1583331306277842175, 1381
1583331307278746696, 1369
1583331308278840788, 1365
1583331309278864056, 1381
1583331310277881840, 1375
1583331311277991913, 1370
1583331312278711955, 1460
1583331313278948902, 1390
1583331314278967424, 1389
1583331315278889107, 1377
1583331316278886668, 1378
1583331317278935023, 1382
1583331318278911447, 1389
1583331319278892265, 1383
1583331320278880134, 1370
1583331321279401171, 1381
1583331322278941133, 1387
1583331323278909979, 1375
1583331324278987405, 1389
1583331325279084009, 1392
1583331326278976528, 1367
1583331327278961979, 1387
1583331328274089636, 1383
1583331329278988525, 1392
1583331330279017123, 1390
1583331331279061443, 1382
1583331332279088966, 1387
1583331333279122928, 1399
1583331334279149917, 1379
1583331335279102646, 1382
1583331336279101894, 1398
1583331337279078338, 1392
1583331338279376686, 1397
1583331339279024205, 1386
1583331340279144095, 1390
1583331341279080641, 1392
1583331342278996959, 1395
1583331343279118540, 1395
1583331344279196470, 1392
1583331345279181203, 1386
1583331346279207366, 1397
1583331347279105743, 1397
1583331348279093218, 1392
1583331349279202357, 1382
1583331350279199400, 1397
1583331351279187680, 1392
1583331352279213743, 1390
1583331353279248288, 1392
1583331354279220823, 1393
1583331355279315351, 1399
1583331356279245265, 1404
1583331357279260632, 1393
1583331358279342178, 1392
1583331359279302789, 1502
1583331360274310647, 1393
1583331361279318206, 1383
1583331362279324925, 1394
1583331363279356657, 1392
1583331364279318806, 1401
1583331365279334595, 1390
1583331366279321644, 1392
1583331367279411402, 1390
1583331368279340838, 1397
1583331369279394242, 1390
1583331370279403425, 1394
1583331371279406799, 1399
1583331372279178459, 1392
1583331373279454744, 1380
1583331374279456364, 1392
1583331375279465447, 1398
1583331376279388514, 1489
1583331377279482728, 1392
1583331378279458786, 1392
1583331379279474170, 1387
1583331380279448539, 1392
1583331381279466219, 1386
1583331382279512831, 1390
1583331383279448103, 1390
1583331384279412149, 1393
